No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6
2922, Sat,23,Dec,2023,40,56,31,29,17,47
2921, Wed,20,Dec,2023,11,46,4,8,53,50
2920, Sat,16,Dec,2023,4,30,23,50,12,56
2919, Wed,13,Dec,2023,48,34,28,43,31,10
2918, Sat,9,Dec,2023,15,33,59,27,44,46
2917, Wed,6,Dec,2023,2,55,3,43,6,22
2916, Sat,2,Dec,2023,26,33,2,4,11,23
2915, Wed,29,Nov,2023,35,49,19,42,38,31
2914, Sat,25,Nov,2023,9,5,46,31,34,48
2913, Wed,22,Nov,2023,49,14,55,26,56,9
2912, Sat,18,Nov,2023,32,47,23,22,11,3
2911, Wed,15,Nov,2023,40,55,6,16,7,33
2910, Sat,11,Nov,2023,28,26,34,42,12,41
2909, Wed,8,Nov,2023,7,46,17,12,53,1
2908, Sat,4,Nov,2023,37,39,20,57,52,54
2907, Wed,1,Nov,2023,37,36,15,43,42,9
2906, Sat,28,Oct,2023,42,50,25,28,37,38
2905, Wed,25,Oct,2023,47,16,33,20,41,59
2904, Sat,21,Oct,2023,15,37,14,43,54,26
2903, Wed,18,Oct,2023,8,48,6,34,20,7
2902, Sat,14,Oct,2023,31,4,28,27,51,57
2901, Wed,11,Oct,2023,18,25,3,15,23,8
2900, Sat,7,Oct,2023,20,47,10,22,16,52
2899, Wed,4,Oct,2023,55,42,53,3,8,37
2898, Sat,30,Sep,2023,40,14,8,24,1,20
2897, Wed,27,Sep,2023,31,11,8,20,44,10
2896, Sat,23,Sep,2023,34,58,12,37,41,55
2895, Wed,20,Sep,2023,52,9,42,37,18,34
2894, Sat,16,Sep,2023,31,17,7,22,24,59
2893, Wed,13,Sep,2023,7,23,42,29,31,10
2892, Sat,9,Sep,2023,43,39,59,49,15,20
2891, Wed,6,Sep,2023,53,12,22,54,38,3
2890, Sat,2,Sep,2023,9,46,55,11,49,53
2889, Wed,30,Aug,2023,19,59,20,48,25,11
2888, Sat,26,Aug,2023,13,42,12,41,50,45
2887, Wed,23,Aug,2023,23,16,57,32,13,37
2886, Sat,19,Aug,2023,31,28,7,37,17,2
2885, Wed,16,Aug,2023,8,51,10,43,32,59
2884, Sat,12,Aug,2023,39,17,25,24,21,14
2883, Wed,9,Aug,2023,34,16,10,29,48,24
2882, Sat,5,Aug,2023,22,5,38,50,28,58
2881, Wed,2,Aug,2023,21,23,49,5,10,35
2880, Sat,29,Jul,2023,20,56,37,8,21,33
2879, Wed,26,Jul,2023,10,19,27,29,12,50
2878, Sat,22,Jul,2023,14,11,46,35,41,20
2877, Wed,19,Jul,2023,47,41,34,30,39,12
2876, Sat,15,Jul,2023,46,10,11,58,37,45
2875, Wed,12,Jul,2023,57,50,3,30,52,44
2874, Sat,8,Jul,2023,59,23,6,18,15,24
2873, Wed,5,Jul,2023,44,47,10,16,38,15
2872, Sat,1,Jul,2023,1,35,12,22,20,24
2871, Wed,28,Jun,2023,31,32,33,40,56,59
2870, Sat,24,Jun,2023,22,17,39,36,53,18
2869, Wed,21,Jun,2023,7,15,8,4,3,1
2868, Sat,17,Jun,2023,46,13,32,11,28,47
2867, Wed,14,Jun,2023,56,47,23,16,21,2
